Anuradhapura,2017,6	127.0,28.04
Anuradhapura,2017,7	83.0,28.58
Anuradhapura,2017,8	119.0,27.73
Anuradhapura,2017,9	179.0,26.83
Anuradhapura,2018,1	60.0,24.27
Anuradhapura,2018,10	430.0,25.64
Anuradhapura,2018,11	364.0,25.15
Anuradhapura,2018,12	177.0,24.95
Anuradhapura,2018,2	86.0,25.41
Anuradhapura,2018,3	87.0,27.37
Anuradhapura,2018,4	116.0,28.01
Anuradhapura,2018,5	195.0,26.96
Anuradhapura,2018,6	190.0,27.18
Anuradhapura,2018,7	60.0,27.89
Anuradhapura,2018,8	96.0,27.56
Anuradhapura,2018,9	169.0,27.7
Anuradhapura,2019,1	58.0,24.44
Anuradhapura,2019,10	365.0,25.7
Anuradhapura,2019,11	252.0,25.93
Anuradhapura,2019,12	305.0,25.18
Anuradhapura,2019,2	158.0,26.12
Anuradhapura,2019,3	41.0,28.21
Anuradhapura,2019,4	99.0,28.78
Anuradhapura,2019,5	68.0,29.04
Anuradhapura,2019,6	85.0,28.98
Anuradhapura,2019,7	81.0,28.66
Anuradhapura,2019,8	252.0,27.56
Anuradhapura,2019,9	211.0,27.21
Anuradhapura,2020,1	100.0,25.28
Anuradhapura,2020,10	151.0,27.35
Anuradhapura,2020,11	324.0,25.94
Anuradhapura,2020,12	362.0,24.71
Anuradhapura,2020,2	34.0,26.04
Anuradhapura,2020,3	33.0,27.82
Anuradhapura,2020,4	141.0,28.43
Anuradhapura,2020,5	161.0,28.06
Anuradhapura,2020,6	146.0,27.98
Anuradhapura,2020,7	158.0,27.55
Anuradhapura,2020,8	124.0,27.67
Anuradhapura,2020,9	264.0,26.74
Anuradhapura,2021,1	313.0,24.69
Anuradhapura,2021,10	292.0,26.18
Anuradhapura,2021,11	397.0,25.02
Anuradhapura,2021,12	127.0,25.27
Anuradhapura,2021,2	92.0,25.07
Anuradhapura,2021,3	98.0,26.76
Anuradhapura,2021,4	184.0,27.68
Anuradhapura,2021,5	261.0,27.17
Anuradhapura,2021,6	136.0,27.4
Anuradhapura,2021,7	137.0,27.71
Anuradhapura,2021,8	113.0,27.63
Anuradhapura,2021,9	173.0,27.51
Anuradhapura,2022,1	125.0,25.07
Anuradhapura,2022,10	242.0,25.85
Anuradhapura,2022,11	223.0,25.06
Anuradhapura,2022,12	243.0,24.71
Anuradhapura,2022,2	99.0,25.1
Anuradhapura,2022,3	93.0,26.79
Anuradhapura,2022,4	209.0,26.66
Anuradhapura,2022,5	200.0,27.35
Anuradhapura,2022,6	115.0,27.29
Anuradhapura,2022,7	114.0,27.37
Anuradhapura,2022,8	153.0,26.88
Anuradhapura,2022,9	119.0,26.99
Anuradhapura,2023,1	153.0,23.98
Anuradhapura,2023,10	268.0,26.19
Anuradhapura,2023,11	376.0,25.44
Anuradhapura,2023,12	323.0,25.38
Anuradhapura,2023,2	113.0,24.92
Anuradhapura,2023,3	109.0,26.63
Anuradhapura,2023,4	104.0,27.74
Anuradhapura,2023,5	129.0,27.61
Anuradhapura,2023,6	70.0,28.23
Anuradhapura,2023,7	80.0,28.22
Anuradhapura,2023,8	53.0,28.83
Anuradhapura,2023,9	192.0,27.33
Anuradhapura,2024,1	187.0,25.22
Anuradhapura,2024,2	63.0,26.77
Anuradhapura,2024,3	53.0,28.08
Anuradhapura,2024,4	105.0,29.29
Anuradhapura,2024,5	310.0,27.96
Anuradhapura,2024,6	42.0,27.48
Badulla,2014,1	171.0,20.8
Badulla,2014,10	284.0,22.78
Badulla,2014,11	303.0,21.93
Badulla,2014,12	373.0,21.42
Badulla,2014,2	80.0,21.42
Badulla,2014,3	85.0,22.51
Badulla,2014,4	124.0,24.14
Badulla,2014,5	133.0,24.22
Badulla,2014,6	38.0,25.57
Badulla,2014,7	21.0,26.14
Badulla,2014,8	88.0,24.67
Badulla,2014,9	114.0,24.23
Badulla,2015,1	103.0,21.32
Badulla,2015,10	321.0,22.8
Badulla,2015,11	301.0,22.23
Badulla,2015,12	259.0,21.91
Badulla,2015,2	155.0,21.2
Badulla,2015,3	119.0,22.52
Badulla,2015,4	262.0,23.34
Badulla,2015,5	172.0,24.15
Badulla,2015,6	84.0,24.5
Badulla,2015,7	62.0,25.42
Badulla,2015,8	107.0,25.34
Badulla,2015,9	161.0,24.15
Badulla,2016,1	78.0,21.76
Badulla,2016,10	164.0,25.64
Badulla,2016,11	279.0,22.37
Badulla,2016,12	142.0,22.16
Badulla,2016,2	113.0,22.34
Badulla,2016,3	93.0,24.06
Badulla,2016,4	136.0,25.51
Badulla,2016,5	290.0,24.74
Badulla,2016,6	44.0,25.33
Badulla,2016,7	73.0,25.38
Badulla,2016,8	42.0,25.45
Badulla,2016,9	42.0,26.23
Badulla,2017,1	286.0,20.27
Badulla,2017,10	215.0,23.78
Badulla,2017,11	339.0,21.84
Badulla,2017,12	328.0,21.33
Badulla,2017,2	236.0,20.9
Badulla,2017,3	179.0,22.43
Badulla,2017,4	67.0,24.33
Badulla,2017,5	131.0,25.39
Badulla,2017,6	106.0,25.66
Badulla,2017,7	108.0,26.1
Badulla,2017,8	105.0,25.11
Badulla,2017,9	148.0,24.03
Badulla,2018,1	224.0,20.27
Badulla,2018,10	346.0,22.42
Badulla,2018,11	387.0,21.92
Badulla,2018,12	320.0,21.19
Badulla,2018,2	275.0,21.1
Badulla,2018,3	255.0,22.43
Badulla,2018,4	187.0,22.97
Badulla,2018,5	206.0,23.51
Badulla,2018,6	112.0,24.32
Badulla,2018,7	119.0,24.37
Badulla,2018,8	138.0,24.48
Badulla,2018,9	166.0,24.54
Badulla,2019,1	404.0,20.58
Badulla,2019,10	377.0,22.28
Badulla,2019,11	367.0,22.26
Badulla,2019,12	450.0,21.7
Badulla,2019,2	373.0,21.93
Badulla,2019,3	152.0,22.42
Badulla,2019,4	185.0,23.88
Badulla,2019,5	124.0,25.15
Badulla,2019,6	77.0,25.91
Badulla,2019,7	99.0,25.54
Badulla,2019,8	145.0,24.95
Badulla,2019,9	226.0,23.84
Badulla,2020,1	318.0,21.28
Badulla,2020,10	88.0,24.29
Badulla,2020,11	387.0,22.52
Badulla,2020,12	457.0,21.67
Badulla,2020,2	350.0,21.53
Badulla,2020,3	108.0,23.08
Badulla,2020,4	223.0,23.73
Badulla,2020,5	191.0,24.64
Badulla,2020,6	122.0,24.93
Badulla,2020,7	160.0,24.29
Badulla,2020,8	117.0,24.9
Badulla,2020,9	146.0,23.85
Badulla,2021,1	451.0,21.3
Badulla,2021,10	218.0,23.05
Badulla,2021,11	324.0,22.16
Badulla,2021,12	384.0,21.36
Badulla,2021,2	324.0,21.33
Badulla,2021,3	232.0,22.06
Badulla,2021,4	163.0,23.2
Badulla,2021,5	240.0,23.86
Badulla,2021,6	133.0,23.73
Badulla,2021,7	144.0,24.09
Badulla,2021,8	197.0,23.95
Badulla,2021,9	186.0,23.83
Badulla,2022,1	367.0,21.06
Badulla,2022,10	256.0,22.76
Badulla,2022,11	281.0,21.51
Badulla,2022,12	306.0,20.98
Badulla,2022,2	212.0,21.15
Badulla,2022,3	204.0,22.46
Badulla,2022,4	229.0,22.71
Badulla,2022,5	160.0,24.66
Badulla,2022,6	141.0,23.93
Badulla,2022,7	144.0,24.22
Badulla,2022,8	183.0,23.88
Badulla,2022,9	139.0,23.6
Badulla,2023,1	423.0,20.1
Badulla,2023,10	350.0,23.02
Badulla,2023,11	367.0,22.61
Badulla,2023,12	489.0,22.37
